file_path,split,jenis,jam_ke,estimasi_sisa_jam
dataset_mobilenet_ready/valid/mata/mata_T0_34_jpg.rf.5c1adf40332dc45975dd6d5bfb65e502_0.jpg,valid,mata,0,18
dataset_mobilenet_ready/test/insang/insang_T0_5_jpg.rf.ae939d215f96f76f1efe76c7b43f0206_1.jpg,test,insang,0,18
dataset_mobilenet_ready/train/insang/insang_T0_74_jpg.rf.78e188127cfe0614767db905ae97337d_1.jpg,train,insang,0,18
dataset_mobilenet_ready/train/insang/insang_T1_23_jpg.rf.24013522e4ed0a1485be62fbcb934824_1.jpg,train,insang,1,17
dataset_mobilenet_ready/train/mata/mata_T0_46_jpg.rf.52fb5b9a43f1b75be582d28c14b4d17a_0.jpg,train,mata,0,18
dataset_mobilenet_ready/train/mata/mata_T0_51_jpg.rf.8b223c1c19834b540f8e1268c8c68d0c_0.jpg,train,mata,0,18
dataset_mobilenet_ready/train/mata/mata_T1_84_jpg.rf.519932f3dbe397cf279d75d3590b5adc_0.jpg,train,mata,1,17
dataset_mobilenet_ready/train/mata/mata_T1_63_jpg.rf.43687e9ec99a9279df3fac5186230fb1_0.jpg,train,mata,1,17
dataset_mobilenet_ready/valid/insang/insang_T0_103_jpg.rf.dbd45bce212367bd9e4094e1ffaed5f7_1.jpg,valid,insang,0,18
dataset_mobilenet_ready/test/insang/insang_T1_71_jpg.rf.9de37c3f34f6ffab74a54e4a4e779cbf_1.jpg,test,insang,1,17
dataset_mobilenet_ready/train/mata/mata_T0_69_jpg.rf.226c8d8a659beab66b4b6f61895318ec_1.jpg,train,mata,0,18
dataset_mobilenet_ready/train/mata/mata_T0_57_jpg.rf.4bab3484cc045b2ec744261b18f1a393_0.jpg,train,mata,0,18
dataset_mobilenet_ready/train/mata/mata_T1_9_jpg.rf.2e468cf19990f8a4704969773c2466e6_1.jpg,train,mata,1,17
dataset_mobilenet_ready/valid/mata/mata_T0_43_jpg.rf.92dbda18c835f63b3f97339720d76e8d_0.jpg,valid,mata,0,18
dataset_mobilenet_ready/valid/mata/mata_T0_45_jpg.rf.50b4b44e100f7fcef4aff6ed458d9eac_0.jpg,valid,mata,0,18
dataset_mobilenet_ready/test/insang/insang_T1_39_jpg.rf.11d9bc03cfaf61ce73025b9702e93dfe_1.jpg,test,insang,1,17
dataset_mobilenet_ready/train/insang/insang_T1_121_jpg.rf.77bab6d443b58787df65d45797637697_1.jpg,train,insang,1,17
dataset_mobilenet_ready/train/insang/insang_T0_21_jpg.rf.49ae9c3ed86244e7e88f6152d3f663d2_1.jpg,train,insang,0,18
dataset_mobilenet_ready/valid/insang/insang_T1_64_jpg.rf.39f1a0b9a06b76b15a5e606134405142_1.jpg,valid,insang,1,17
dataset_mobilenet_ready/train/mata/mata_T1_78_jpg.rf.acebef84549f316ffc1af0c5655c8137_0.jpg,train,mata,1,17
